Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Calculator,,,,2023-08-20 03:55:49,2023-08-20 03:58:20,2m - 31.485s,PASSED
,,,,,,,
Test Cases/Addition,,,,2023-08-20 03:55:49,2023-08-20 03:56:21,32.467s,PASSED
"startExistingApplication(""com.google.android.calculator"", STOP_ON_FAILURE)",,,,2023-08-20 03:55:49,2023-08-20 03:56:10,20.497s,PASSED
"tap(findTestObject(""Button - AC""), 0)",,,,2023-08-20 03:56:10,2023-08-20 03:56:13,2.681s,PASSED
"tap(findTestObject(""Button - 2""), 0)",,,,2023-08-20 03:56:13,2023-08-20 03:56:13,0.427s,PASSED
"tap(findTestObject(""Button - Addition""), 0)",,,,2023-08-20 03:56:13,2023-08-20 03:56:15,1.599s,PASSED
"tap(findTestObject(""Button - 3""), 0)",,,,2023-08-20 03:56:15,2023-08-20 03:56:17,2.008s,PASSED
"verifyElementText(findTestObject(""TextView - Result""), ""5"")",,,,2023-08-20 03:56:17,2023-08-20 03:56:17,0.487s,PASSED
"tap(findTestObject(""Button - Equal""), 0)",,,,2023-08-20 03:56:17,2023-08-20 03:56:19,1.992s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2023-08-20 03:56:19,2023-08-20 03:56:20,1.028s,PASSED
"verifyElementText(findTestObject(""TextView - Final Result""), ""5"")",,,,2023-08-20 03:56:20,2023-08-20 03:56:21,0.808s,PASSED
closeApplication(),,,,2023-08-20 03:56:21,2023-08-20 03:56:21,0.459s,PASSED
,,,,,,,
Test Cases/Multiplication,,,,2023-08-20 03:56:21,2023-08-20 03:56:47,25.818s,PASSED
"startExistingApplication(""com.google.android.calculator"", STOP_ON_FAILURE)",,,,2023-08-20 03:56:22,2023-08-20 03:56:38,15.797s,PASSED
"tap(findTestObject(""Button - AC""), 0)",,,,2023-08-20 03:56:38,2023-08-20 03:56:40,2.220s,PASSED
"tap(findTestObject(""Button - 5""), 0)",,,,2023-08-20 03:56:40,2023-08-20 03:56:41,1.003s,PASSED
"tap(findTestObject(""Button - Multiplication""), 0)",,,,2023-08-20 03:56:41,2023-08-20 03:56:42,1.003s,PASSED
"tap(findTestObject(""Button - 7""), 0)",,,,2023-08-20 03:56:42,2023-08-20 03:56:43,1.004s,PASSED
"verifyElementText(findTestObject(""TextView - Result""), ""35"")",,,,2023-08-20 03:56:43,2023-08-20 03:56:43,0.413s,PASSED
"tap(findTestObject(""Button - Equal""), 0)",,,,2023-08-20 03:56:43,2023-08-20 03:56:45,1.885s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2023-08-20 03:56:45,2023-08-20 03:56:46,1.003s,PASSED
"verifyElementText(findTestObject(""TextView - Final Result""), ""35"")",,,,2023-08-20 03:56:46,2023-08-20 03:56:47,0.747s,PASSED
closeApplication(),,,,2023-08-20 03:56:47,2023-08-20 03:56:47,0.436s,PASSED
,,,,,,,
Test Cases/Division,,,,2023-08-20 03:56:47,2023-08-20 03:57:19,32.160s,PASSED
"startExistingApplication(""com.google.android.calculator"", STOP_ON_FAILURE)",,,,2023-08-20 03:56:48,2023-08-20 03:57:03,15.764s,PASSED
"tap(findTestObject(""Button - AC""), 0)",,,,2023-08-20 03:57:03,2023-08-20 03:57:06,2.443s,PASSED
"tap(findTestObject(""Button - 8""), 0)",,,,2023-08-20 03:57:06,2023-08-20 03:57:07,1.003s,PASSED
"tap(findTestObject(""Button - Division""), 0)",,,,2023-08-20 03:57:07,2023-08-20 03:57:08,1.007s,PASSED
"tap(findTestObject(""Button - 4""), 0)",,,,2023-08-20 03:57:08,2023-08-20 03:57:09,1.002s,PASSED
